Image 0| Score: -0.5694 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 3638| Score: 1.4182 | Kept from Student| a clear glass with some water in it standing over a street 
Image 3639| Score: -1.1727 | Improved by Teacher| Plate of 3 hotdogs covered in onions next to a mug of chocolate milk
Image 3640| Score: 1.6201 | Kept from Student| A small cat sits perched on the back of a toilet.
Image 3641| Score: 1.7899 | Kept from Student| A man is standing in between two branches filled with bananas. 
Image 3642| Score: 0.2506 | Improved by Teacher| A large clock tower in black and white. 
Image 3643| Score: 0.7225 | Kept from Student| THE ELEPHANT IS IN THE BARN EATING GRASS.
Image 3644| Score: 1.1084 | Kept from Student| A random Giraffe is standing in front of a double door. 
Image 3645| Score: 0.6841 | Kept from Student| A cheesesteak sandwich has a 3-d glasses effect.
Image 3646| Score: 1.0903 | Kept from Student| A woman with a horse brush in one hand and the other hand on the horse. 
Image 3647| Score: -0.8091 | Improved by Teacher| A toilet lid on a hole in a floor leading to the outside.
Image 3648| Score: 0.5360 | Improved by Teacher| A half eaten hot dog is next to a whole hot dog on a piece of paper.
Image 3649| Score: 1.9369 | Kept from Student| A man with a fowhawk holding an umbrella in his left hand.
Image 3650| Score: 1.6964 | Kept from Student| A person walking through the snow near a fence.
Image 3651| Score: 0.8793 | Kept from Student| A bus traveling down a street next to a tall building.
Image 3652| Score: -0.1549 | Improved by Teacher| A man holding a towel and a tennis racket, men in the back looking through backpacks and sitting on chairs.
Image 3653| Score: -0.8687 | Improved by Teacher| Scissors, paper and paper bird cut outs on a table. 
Image 3654| Score: 0.8815 | Kept from Student| A window ledge with two potted plants on it.
Image 3655| Score: 0.0903 | Improved by Teacher| A very large commuter train is going down the track.
Image 3656| Score: 0.7013 | Kept from Student| Two clocks, various tools, a thermos, and a bunch of cords.
Image 3657| Score: -1.7770 | Improved by Teacher| A keyboard sitting on a laptop that has a keyboard already.
Image 3658| Score: 0.7114 | Kept from Student| Food and beverage sitting atop a white table top.
Image 3659| Score: 0.9642 | Kept from Student| A glas full of wine sitting next to a bottle on a table.
Image 3660| Score: 0.2502 | Improved by Teacher| A pair of black cats display a menacing stare.
Image 3661| Score: 1.2168 | Kept from Student| a man buying some food at a food stand
Image 3662| Score: 0.7897 | Kept from Student| A man and a woman are eating large slices of pizza
Image 3663| Score: 0.3099 | Improved by Teacher| close up of two cats standing close to each other
Image 3664| Score: 0.1804 | Improved by Teacher| A person and surf board handling a wave.
Image 3665| Score: 1.8284 | Kept from Student| A giraffe is standing near the water with a lot of sailboats lined up.
Image 3666| Score: -1.1084 | Improved by Teacher| cows grazing in a pasture, looks like a bird on the back of one
Image 3667| Score: 0.4846 | Improved by Teacher| a person riding a motorcycle on a city street
Image 3668| Score: 0.0532 | Improved by Teacher| A black and white photo of a guy skateboarding. 
Image 3669| Score: -0.6554 | Improved by Teacher| A leafy green vegetable with sprouts in the middle.
Image 3670| Score: -1.1916 | Improved by Teacher| A laptop sitting on someones bed next to a suit case .
Image 3671| Score: 0.3739 | Improved by Teacher| A train on the tracks with its lights on
Image 3672| Score: 0.3992 | Improved by Teacher| A room with a bed, lamps, tables and pillows. 
Image 3673| Score: -1.8340 | Improved by Teacher| a man on a blue tennis court waiting for a tennis ball 
Image 3674| Score: 0.3492 | Improved by Teacher| A group of similarly dressed small children on a sofa.
Image 3675| Score: 1.3991 | Kept from Student| A man that is holding a tennis racquet.
Image 3676| Score: 1.2877 | Kept from Student| a elephant walking in a dusty and rocky area
Image 3677| Score: 1.0213 | Kept from Student| An opened book on a table and something else I don't know what it is.
Image 3678| Score: -1.8906 | Improved by Teacher| A city street sign mounted on a black pole near a high rise building.
Image 3679| Score: 1.3739 | Kept from Student| A man riding on a bike in the middle of the city.
Image 3680| Score: 0.0158 | Improved by Teacher| A ski lodge at the top of a snowy mountain, skier gathered outside.
Image 3681| Score: 1.2219 | Kept from Student| People standing in the street on the other side of a traffic signal.
Image 3682| Score: 1.4781 | Kept from Student| A model posing next to a motorbike at a motorcycle show.
Image 3683| Score: 0.9599 | Kept from Student| A black and white cat laying on top of a blue blanket.
Image 3684| Score: -0.4839 | Improved by Teacher| A woman in a black tank top holds a white remote.
Image 3685| Score: -0.3293 | Improved by Teacher| A kitchen with cabinets, a stove, microwave and refrigerator.
Image 3686| Score: 1.7574 | Kept from Student| a man smiling while looking at his plate of food
Image 3687| Score: 1.3174 | Kept from Student| A person riding the horse jumping over a wooden obstacle.
Image 3688| Score: -0.8876 | Improved by Teacher| The man jumps while on his skateboard at the park.
Image 3689| Score: 1.4763 | Kept from Student| Large group of motorcycles parked next to each other in a city. 
Image 3690| Score: 1.1824 | Kept from Student| A man sitting at a table in a kitchen with a laptop.
Image 3691| Score: 1.9697 | Kept from Student| A young boy with a trumpet near some animals in front of a mountain.
Image 3692| Score: 0.2700 | Improved by Teacher| A street car filled with people is stopped on a bridge.
Image 3693| Score: -0.2514 | Improved by Teacher| Tennis player posed and ready to hit the ball.
Image 3694| Score: -0.2810 | Improved by Teacher| A wooden spoon accompanied by a cooking pan filled with stir-fried broccoli and onions.
Image 3695| Score: 1.9027 | Kept from Student| A beautiful woman in white and pink holding a tennis racquet.
Image 3696| Score: 1.6883 | Kept from Student| A rainbow in the sky over a street. 
Image 3697| Score: 0.6083 | Improved by Teacher| A skate boarding teenagers goes airborne on his skate board.
Image 3698| Score: 0.8627 | Kept from Student| A bunch of elephants by the wall in their enclosure
Image 3699| Score: 1.8197 | Kept from Student| A man riding a bike through a lush green park.
Image 3700| Score: 1.2936 | Kept from Student| A pile of thrown-away items near the corner of a building.
Image 3701| Score: 0.5228 | Improved by Teacher| Several Zebras are standing near a tree in the wild. 
Image 3702| Score: -1.6254 | Improved by Teacher| A computer keyboard and book on a table.
Image 3703| Score: 0.6070 | Improved by Teacher| An elephant in a cage with its baby.
Image 3704| Score: 1.9478 | Kept from Student| Elderly woman looking over boxed pastry items at outdoor venue.
Image 3705| Score: 0.7563 | Kept from Student| The #41 bus parked at the curb waiting for passengers to board
Image 3706| Score: -0.3256 | Improved by Teacher| two zebras walking in an enclosed fenced area
Image 3707| Score: 0.8218 | Kept from Student| A bathroom with a shower and a shower curtain.
Image 3708| Score: 1.8434 | Kept from Student| a porcelain cat looking at a black mouse
Image 3709| Score: -1.7060 | Improved by Teacher| a woman smoking while talking on a cell phone
Image 3710| Score: -0.0333 | Improved by Teacher| a boat  that is parked up on the land
Image 3711| Score: 0.6374 | Kept from Student| This bathroom's window is open near the sink.
Image 3712| Score: 0.7658 | Kept from Student| A person riding a horse jumping over and obstacle.
Image 3713| Score: -0.1299 | Improved by Teacher| Looking out of a commuter bus at a small town grocery
Image 3714| Score: 0.8812 | Kept from Student| Three skiers are skiing down the snowy mountain.
Image 3715| Score: 1.7638 | Kept from Student| A boat going past a light house on a small island.
Image 3716| Score: 0.1070 | Improved by Teacher| The man is behind the upturned keyboard using the mouse  as a monocle.
Image 3717| Score: 0.0719 | Improved by Teacher| A spotted bird on a green tree branch.
Image 3718| Score: -0.9568 | Improved by Teacher| a skateboarder doing some kind of trick on a pole.
Image 3719| Score: 1.6533 | Kept from Student| An end table has several vases and photographs
Image 3720| Score: -0.1198 | Improved by Teacher| A couple instrument cases are stacked up with a red hat on top for donations.
Image 3721| Score: -0.2947 | Improved by Teacher| four nice ladies gazing at the computers smiling
Image 3722| Score: 0.1715 | Improved by Teacher| A computer with a large monitor sits on a table.
Image 3723| Score: 1.4973 | Kept from Student| A frame has six pictures, two with a horse.
Image 3724| Score: 1.5553 | Kept from Student| A red train parked by a red brick building.
Image 3725| Score: 0.6957 | Kept from Student| A man swings his racket to return a tennis ball.
Image 3726| Score: 1.2201 | Kept from Student| this is a bird flying in the sky with its wings
Image 3727| Score: 0.6481 | Kept from Student| Decorated cake in rainbow colors congratulating a baby
Image 3728| Score: 0.1155 | Improved by Teacher| Man in red/orange shirt and dark green pants, with Wii controller looking at video display.
Image 3729| Score: 0.9994 | Kept from Student| girl sitting on surfboard at sunset on the ocean
Image 3730| Score: 0.7670 | Kept from Student| A girl follows through on her swing while playing tennis.
Image 3731| Score: -0.6442 | Improved by Teacher| A glass desk with labels placed beside a cordless mouse, an mp3 player, a keyboard, and a webcam.
Image 3732| Score: -0.3600 | Improved by Teacher| Two toilets are together with no separation in a public bathroom.
Image 3733| Score: 1.6661 | Kept from Student| A horse standing in a field that is genetically part zebra.
Image 3734| Score: 1.1416 | Kept from Student| A small yellow car parked between two large yellow trucks.
Image 3735| Score: 1.3058 | Kept from Student| A little brown bird standing in water and rocks.
Image 3736| Score: 0.8568 | Kept from Student| The two images are of a young child in a baseball hat and jacket.
Image 3737| Score: 0.1047 | Improved by Teacher| Men's restroom with toilet and urinals along tiled walls.
Image 3738| Score: -0.4398 | Improved by Teacher| A woman that is sitting down with a baby.
Image 3739| Score: -0.0208 | Improved by Teacher| The young girl is trying to play a game of soccer. 
Image 3740| Score: 0.1013 | Improved by Teacher| A man taking a picture of a mirror on a train.
Image 3741| Score: 1.6328 | Kept from Student| A back side view of a zebra looking down.
Image 3742| Score: -0.8571 | Improved by Teacher| A kitchen with lots of cabinets with an oven underneath a microwave oven.
Image 3743| Score: -0.9469 | Improved by Teacher| The giraffes crane their long necks towards the young girl, eager for their next meal.
Image 3744| Score: -0.1303 | Improved by Teacher| A young man at the top of a ski slope with skis in hand.
Image 3745| Score: -0.3491 | Improved by Teacher| A man is watching his daughter get her hair done. 
Image 3746| Score: 1.5460 | Kept from Student| A girl reads her book on a bench. 
Image 3747| Score: 1.6421 | Kept from Student| A woman in a straw had pushes a bicycle through a residential area
Image 3748| Score: 0.1245 | Improved by Teacher| A rack with some doughnuts in a glass case.
Image 3749| Score: -0.4899 | Improved by Teacher| A man skiing on top of a pipe.
Image 3750| Score: -1.4227 | Improved by Teacher| A hearty fish dinner, with a side of onion rings and coffee.
Image 3751| Score: 1.6026 | Kept from Student| People walking on a beach, many carrying surfboards
Image 3752| Score: 1.8080 | Kept from Student| Polar bear stand on edge of a slide
Image 3753| Score: 0.7939 | Kept from Student| A number of teddy bears with different colors put together
Image 3754| Score: -0.3904 | Improved by Teacher| There are numerous sea gulls flying near the ocean coast.
Image 3755| Score: -0.0218 | Improved by Teacher| A full view of a home office with many computer screens. 
Image 3756| Score: -0.8423 | Improved by Teacher| An open toaster oven with a glass dish of food inside.
Image 3757| Score: 0.4442 | Improved by Teacher| The black and white photograph of a classroom of schoolchildren is a bit out of focus on the right side of the picture.
Image 3758| Score: 0.2687 | Improved by Teacher| A dog peeks out from the backpack of a man at the airport
Image 3759| Score: 0.4672 | Improved by Teacher| A bicycle parked and locked up outside a house. 
Image 3760| Score: 0.2528 | Improved by Teacher| a guide book with a picture of elephants reflected in a side view mirror 
Image 3761| Score: 0.4639 | Improved by Teacher| Two cows that are together in a field.
Image 3762| Score: -0.2458 | Improved by Teacher| A man reaches his tennis racket up to hit the ball.
Image 3763| Score: 1.0492 | Kept from Student| a lot of people in a classroom setting 
Image 3764| Score: 0.1755 | Improved by Teacher| An uncut orange placed in a dark spot for effect
Image 3765| Score: -0.5651 | Improved by Teacher| Commercial liner at a airport parked on a runway.
Image 3766| Score: 0.4344 | Improved by Teacher| A woman stands with her teeth showing while holding a Wii remote.
Image 3767| Score: 0.9109 | Kept from Student| People are watching a man swing at an approaching baseball. 
Image 3768| Score: 1.9643 | Kept from Student| A teddy bear in a dress with a bouquet of flowers.
Image 3769| Score: 0.5590 | Improved by Teacher| A bedroom with a bed next to a  night stand with a lamp.
Image 3770| Score: 1.5106 | Kept from Student| A cow in the pasture drinking from a lake.
Image 3771| Score: 1.1711 | Kept from Student| a man that is looking at a picture of him self
Image 3772| Score: 0.8832 | Kept from Student| Train station boarding area with pedestrians walking near by,
Image 3773| Score: -0.5221 | Improved by Teacher| A double decker bus parked by a building with a number of officials nearby.
Image 3774| Score: 0.0509 | Improved by Teacher| A brown bear walking in its zoo enclosure
Image 3775| Score: 1.2692 | Kept from Student| Three goats are walking along a grassy field.
Image 3776| Score: 1.0582 | Kept from Student| A man standing beside a pizza on a counter.
Image 3777| Score: 1.7224 | Kept from Student| A woman in black dress on street with a cellphone.
Image 3778| Score: 1.4097 | Kept from Student| A caboose sitting on a track in the city along the side of the street.
Image 3779| Score: 1.5536 | Kept from Student| A restaurant with tables and chairs has clocks on the wall.
Image 3780| Score: 0.2860 | Improved by Teacher| Four different pizzas spread out on a table. 
Image 3781| Score: -0.0326 | Improved by Teacher| A pitcher has just thrown a baseball and another player is in the background.
Image 3782| Score: 0.7738 | Kept from Student| A display full of giraffe figurines are made of glass.
Image 3783| Score: 1.6665 | Kept from Student| a bunch of men are walking down a sidewalk
Image 3784| Score: 0.8721 | Kept from Student| A bunch of birds are gathered around the waters edge near some rocks. 
Image 3785| Score: 1.6176 | Kept from Student| A dining table sits with a table cloth, near bright, open windows.
Image 3786| Score: -0.0172 | Improved by Teacher| A girl shows off her toothbrush in the bathroom.
Image 3787| Score: 0.7999 | Kept from Student| Vehicles at a car show are shown, a small car and a motorcycle.
Image 3788| Score: 0.2414 | Improved by Teacher| Tourists photographing a steam locomotive pulling into a station.
Image 3789| Score: -0.4085 | Improved by Teacher| A person watching a sheepdog chase a white disc across a green field with mist covered mountains in the background.
Image 3790| Score: -1.1479 | Improved by Teacher| The kid is on the bed watching the television.
Image 3791| Score: -0.3542 | Improved by Teacher| A chicken and waffle sandwich on a plate.
Image 3792| Score: -1.1521 | Improved by Teacher| A baseball player with a bat at home plate.
Image 3793| Score: 0.3313 | Improved by Teacher| Two short zebras with big heads stand side by side.
Image 3794| Score: 1.3938 | Kept from Student| Black and white husky dog laying on a black couch.
Image 3795| Score: 1.1833 | Kept from Student| A little girl holds something in her hand next to a Christmas stocking.
Image 3796| Score: 0.1962 | Improved by Teacher| There is a long sub sandwich cut into pieces on a table.
Image 3797| Score: 1.1120 | Kept from Student| A wood table full of plates, cakes, and deserts.
Image 3798| Score: -0.4788 | Improved by Teacher| a policeman on a street trees and a black white and red sign
Image 3799| Score: 0.8662 | Kept from Student| A white pony with black speckles grazing in a field.
Image 3800| Score: -0.4074 | Improved by Teacher| A bedroom with a bed, chair, and a slanted ceiling.
Image 3801| Score: 1.6110 | Kept from Student| A soccer player in a green uniform is trying to control the ball. 
Image 3802| Score: 1.6193 | Kept from Student| A cat sits near a bench in a garden with many potted plants.
Image 3803| Score: 0.9348 | Kept from Student| A desk with a small stool underneath a desk with a computer on it
Image 3804| Score: 0.5271 | Improved by Teacher| A pizza on a wood platter with greens on top.
Image 3805| Score: 1.1783 | Kept from Student| Perhaps he's a magician who will pull a rabbit out of that hat.
Image 3806| Score: -0.9615 | Improved by Teacher| a bathroom with a reflection of a trash can in the mirror 
Image 3807| Score: -0.1556 | Improved by Teacher| A bride and groom cutting their wedding cake together.
Image 3808| Score: 0.2926 | Improved by Teacher| A close up of a Winnie the Pooh teddy bear.
Image 3809| Score: 0.7172 | Kept from Student| A bird is sitting on a branch high in the tree.
Image 3810| Score: 0.4962 | Improved by Teacher| A girl is standing on a tennis court with her raquet.
Image 3811| Score: -1.4682 | Improved by Teacher| A little foxy dog is laying in a bed covered by a crocheted blanket and sticking his tongue out.
Image 3812| Score: 0.0387 | Improved by Teacher| The tennis player is returning a very strong serve.
Image 3813| Score: 1.7921 | Kept from Student| A vase full of some yellow flowers sets on top of a counter. 
Image 3814| Score: 0.6445 | Kept from Student| A women who is riding a wave on a surfboard.
Image 3815| Score: 0.5702 | Improved by Teacher| A person reaching over the fence feeding a giraffe at a zoo.
Image 3816| Score: 0.9187 | Kept from Student| a public transit bus on a city stree
Image 3817| Score: 1.1633 | Kept from Student| Street corner in a small town at twilight.
Image 3818| Score: 0.1415 | Improved by Teacher| A young boy is holding a frisbee at the beach.
Image 3819| Score: -0.5142 | Improved by Teacher| a bathroom with one toilet next to a toilet bowl cleaner
Image 3820| Score: 1.0544 | Kept from Student| A baseball player taking a swing at a ball
Image 3821| Score: -0.7536 | Improved by Teacher| A human a doing something right now that is full.
Image 3822| Score: 0.0229 | Improved by Teacher| A man wearing a tie driving a car.
Image 3823| Score: 1.1364 | Kept from Student| Carrots, lettuce, radishes and other vegetables on pallet.
Image 3824| Score: 1.5647 | Kept from Student| Two girls are sitting on blankets in a grassy area while using their phones.
Image 3825| Score: 1.3736 | Kept from Student| The table is very long and dimly lit.
Image 3826| Score: 1.8490 | Kept from Student| A black cat sitting in a red flower pot
Image 3827| Score: 0.3518 | Improved by Teacher| A meal of a salad, sandwich and fries is on the table.
Image 3828| Score: 1.8270 | Kept from Student| Several diners eating at a riverside outdoor restaurant.
Image 3829| Score: 0.2485 | Improved by Teacher| Someone put a face over a baby giraffe that a man is trying to weigh.
Image 3830| Score: 1.6035 | Kept from Student| Two people sitting on the snow on their snowboards
Image 3831| Score: 0.9648 | Kept from Student| A sleigh is crafted with gifts and a teddy with pillow and blanket.
Image 3832| Score: 0.1587 | Improved by Teacher| A clock tower in the middle of the city.
Image 3833| Score: -0.8126 | Improved by Teacher| A brick tower that has a clock displayed. 
Image 3834| Score: -0.8766 | Improved by Teacher| A adult holding a child biting into a remote.
Image 3835| Score: 0.8086 | Kept from Student| A large red bus driving down an English street.
Image 3836| Score: 1.9012 | Kept from Student| A fat polar bear walking along the rocks
Image 3837| Score: 1.0374 | Kept from Student| Many carrots are on a cutting board next to a knife. 
Image 3838| Score: -0.0397 | Improved by Teacher| A skateboarder up in the air on a skateboard ramp.  
Image 3839| Score: 1.1601 | Kept from Student| The white cow stands alone in the field.
Image 3840| Score: 0.8766 | Kept from Student| Black and white photograph of people floating on a rectangular pontoon
Image 3841| Score: 0.8658 | Kept from Student| A young girl playing tennis at a tennis court. 
Image 3842| Score: 0.3722 | Improved by Teacher| Skiers and snowboarders mill about on a mountain.
Image 3843| Score: -0.5770 | Improved by Teacher| A radio and a keyboard on a desk.
Image 3844| Score: 0.8990 | Kept from Student| A group of zebra drinking water from a pond of water.
Image 3845| Score: -0.9216 | Improved by Teacher| A waffle and chicken sandwich with syrup on top
Image 3846| Score: 1.0406 | Kept from Student| Two stainless steel refrigerators standing side by side.
Image 3847| Score: -0.9391 | Improved by Teacher| Someone is holding a hair dryer at a paper mache project.
Image 3848| Score: -1.3377 | Improved by Teacher| THERE IS A BOY THAT IS IN THE BEACH WATER
Image 3849| Score: -0.7462 | Improved by Teacher| A man and a baby lying on the couch in a living room 
Image 3850| Score: 0.4202 | Improved by Teacher| A big bathroom featuring a sink and toilet
Image 3851| Score: 1.0723 | Kept from Student| A group of teens performing stunts at a skateboard park.
Image 3852| Score: -0.6803 | Improved by Teacher| Two men skiing on a hill with people watching.
Image 3853| Score: -0.2688 | Improved by Teacher| A cat sitting on top of a black chair next to a desk.
Image 3854| Score: 0.6425 | Kept from Student| A plane is flying through a clear sky
Image 3855| Score: 1.2708 | Kept from Student| A person holds an oddly shaped cookie in front of the camera.
Image 3856| Score: 0.7789 | Kept from Student| Two women are dining together in a fine restaurant.
Image 3857| Score: 1.4615 | Kept from Student| A green truck is driving down the road
Image 3858| Score: -0.2979 | Improved by Teacher| Competitor with  referee looking on green tennis court.
Image 3859| Score: -1.5832 | Improved by Teacher| A train car sits idle on messy train tracks.
Image 3860| Score: -0.1743 | Improved by Teacher| A little boy at a skate park with a skateboard
Image 3861| Score: -0.6747 | Improved by Teacher| a woman sitting before a plate of ham slices and a camera.
Image 3862| Score: 1.0046 | Kept from Student| Three birds sit leaning out of a bird's nest.
Image 3863| Score: -0.3434 | Improved by Teacher| a baseball player with a bat is walking on the field
Image 3864| Score: 1.1270 | Kept from Student| The sandwich is on the table by the glass of milk.
Image 3865| Score: -0.1409 | Improved by Teacher| A baseball player holding a bat on top of a baseball field.
Image 3866| Score: 1.1301 | Kept from Student| A wooden plate with different types of food on it.
Image 3867| Score: -0.6397 | Improved by Teacher| This dog happily walks through the field carrying a Frisbee. 
Image 3868| Score: 0.9218 | Kept from Student| A table with a white plate of food and a bottle of beer.
Image 3869| Score: -1.1345 | Improved by Teacher| A couple of people standing in front of a TV.
Image 3870| Score: 0.0404 | Improved by Teacher| A person riding a skateboard in front of a building.
Image 3871| Score: 1.1073 | Kept from Student| A woman on a cell phone sitting next to a man on a bench.
Image 3872| Score: -1.8203 | Improved by Teacher| a food item covered with unidentifialbe products on top of it
Image 3873| Score: 0.5962 | Improved by Teacher| a man and woman in a four horse drawn carriage
Image 3874| Score: 0.8572 | Kept from Student| Three zebras are standing together in a field.
Image 3875| Score: 1.7876 | Kept from Student| The woman wearing pink is surfboarding through a wave.
Image 3876| Score: 0.7890 | Kept from Student| GUY STEPPING UP ON THE CURB GIVING A THUMBS UP
Image 3877| Score: 1.7894 | Kept from Student| A man in a chef outfit is near some hay.
Image 3878| Score: -1.3856 | Improved by Teacher| A suitcase lying on the ground with a spare tire and jack.
Image 3879| Score: 0.9500 | Kept from Student| Three people flying a kite in the air during the day.
Image 3880| Score: 0.8528 | Kept from Student| A group of people with a umbrella. 
Image 3881| Score: -0.3614 | Improved by Teacher| A woman holds a large cake with an internet symbol on it.
Image 3882| Score: 0.5134 | Improved by Teacher| a plane at the airport being offloaded and some trucks moving besides it
Image 3883| Score: 1.5375 | Kept from Student| A man in a red jacket and cap uniform, with musical instruments strapped to him.
Image 3884| Score: 0.4217 | Improved by Teacher| A gigantic teddy bear sprawled out on the couch.
Image 3885| Score: 0.6973 | Kept from Student| Cattle walking in open rutted field on sunny day.
Image 3886| Score: 0.4542 | Improved by Teacher| This photo depicts one parking meter with a wall in the background.
Image 3887| Score: 0.4836 | Improved by Teacher| Tupperware full of vegetables, cheese, and dried fruit.
Image 3888| Score: 0.7280 | Kept from Student| A large square pizza sitting on top of a pan.
Image 3889| Score: 0.8365 | Kept from Student| some people standing around a bright lit up party bus 
Image 3890| Score: 0.7005 | Kept from Student| two sheep staring and standing on the grass
Image 3891| Score: -0.4791 | Improved by Teacher| A bus is driving along the street by a street sign.
Image 3892| Score: 0.1593 | Improved by Teacher| A man is on his ski board in the snow. 
Image 3893| Score: 0.3501 | Improved by Teacher| A single zebra that is standing in an enclosure.
Image 3894| Score: 1.1749 | Kept from Student| a group of skiers in line head down a mountain
Image 3895| Score: 0.2694 | Improved by Teacher| Doorway view into bathroom with a sink and toilet.
Image 3896| Score: 1.7449 | Kept from Student| An old station wagon with a surfboard on top of it.
Image 3897| Score: 0.3231 | Improved by Teacher| A brown and black dog on an open window
Image 3898| Score: 0.4718 | Improved by Teacher| A very big fancy looking rest room with a big counter.
Image 3899| Score: 0.4576 | Improved by Teacher| A group of men are playing frisbee in a large field.
Image 3900| Score: 1.0762 | Kept from Student| a newly wedded couple cutting their wedding cake
Image 3901| Score: 1.7022 | Kept from Student| A red fire hydrant is placed in the muddy ground.
Image 3902| Score: 0.2307 | Improved by Teacher| A banana resting on a paper towel atop a wooden table.
Image 3903| Score: 0.0262 | Improved by Teacher| A woman falling asleep next to a man, who are both sitting down.
Image 3904| Score: 1.0841 | Kept from Student| A red fire truck traveling down a busy city street.
Image 3905| Score: 0.5354 | Improved by Teacher| A group of people on a field playing soccer.
Image 3906| Score: 0.9339 | Kept from Student| A malt delivery truck on the side of the street in a town.
Image 3907| Score: 1.0938 | Kept from Student| Cows standing nose to nose in a field of grass
Image 3908| Score: 1.6229 | Kept from Student| A man holds a tennis racket on a tennis court.
Image 3909| Score: -0.3391 | Improved by Teacher| A lone giraffe grazes freely in the open field.
Image 3910| Score: 1.0884 | Kept from Student| an image of a clock tower on the sidewalk
Image 3911| Score: 0.5955 | Improved by Teacher| A white toilet sitting next to a sink.
Image 3912| Score: -0.1164 | Improved by Teacher| A red double decker bus on street next to a wall.
Image 3913| Score: 0.0071 | Improved by Teacher| A woman's reflection of her taking a picture of a sink and toilet.
Image 3914| Score: 1.0085 | Kept from Student| A large monument with a clock on it.
Image 3915| Score: -1.4140 | Improved by Teacher| Two giraffes and a zebra standing outside during the day.
Image 3916| Score: 0.5845 | Improved by Teacher| Several men on the beach with their surfboards. 
Image 3917| Score: 0.4794 | Improved by Teacher| A woman smiles while standing near a sheep.
Image 3918| Score: 1.2200 | Kept from Student| a small kid enjoying some food off a bowl
Image 3919| Score: -1.4004 | Improved by Teacher| A very old and beat up looking clock tower. 
Image 3920| Score: 0.3841 | Improved by Teacher| The back view of a Honda Ridgeline truck.
Image 3921| Score: -0.0001 | Improved by Teacher| a bird with a pink eye is sitting on a branch in the woods.
Image 3922| Score: 0.1875 | Improved by Teacher| A lady sit under a dryer smiling with roller in her head with a smiling lady behind her.
Image 3923| Score: 0.2620 | Improved by Teacher| a shower door a sink a mirror and an outlet
Image 3924| Score: -0.0647 | Improved by Teacher| a pan of prepared steak with broccoli on a white cloth
Image 3925| Score: 1.2402 | Kept from Student| A bunch of guys chasing a basketball on the court
Image 3926| Score: -0.0302 | Improved by Teacher| A man flying through the air while riding a skateboard.
Image 3927| Score: -0.1728 | Improved by Teacher| Doughnut with icing displayed with leather jumping rope.
Image 3928| Score: 1.0177 | Kept from Student| A black cat laying on a white sofa.
Image 3929| Score: 0.5772 | Improved by Teacher| a close up of two birds on a branch of a tree
Image 3930| Score: 0.6826 | Kept from Student| An orange liquid has been mixed in a blender.
Image 3931| Score: -0.5450 | Improved by Teacher| A cat standing next to a laptop computer on top of a table.
Image 3932| Score: 0.6532 | Kept from Student| A large adult zebra stands in a pile of sand.
Image 3933| Score: -0.2042 | Improved by Teacher| Donuts being processed at a bakery, moving along a conveyor.
Image 3934| Score: 1.2848 | Kept from Student| A lady shopping in the rain at a outdoor market. 
Image 3935| Score: -0.5539 | Improved by Teacher| Elephants stand together along a wall in a zoo. 
Image 3936| Score: 1.7207 | Kept from Student| a blue truck is parked next to a building
Image 3937| Score: 1.0582 | Kept from Student| Some people gathered around a CPR mannequin to learn CPR.
Image 3938| Score: 0.2421 | Improved by Teacher| A cat that is laying on some carpet.
Image 3939| Score: 1.0590 | Kept from Student| A very big pretty horse and some people.
Image 3940| Score: -0.4496 | Improved by Teacher| A sausage and some vegetables are on a tray.
Image 3941| Score: 1.7963 | Kept from Student| A guy walking with a umbrella on a snowy sidewalk.
Image 3942| Score: 0.4351 | Improved by Teacher| An elephant with tusks is on the grassy ground.
Image 3943| Score: 0.8924 | Kept from Student| Trio of roses ascending from a white table top canvass
Image 3944| Score: 1.4922 | Kept from Student| A group of people walk down the street dressed as zombies.
Image 3945| Score: -1.7219 | Improved by Teacher| A man eats as he sits at a table of appetizers.
Image 3946| Score: 0.0577 | Improved by Teacher| There are a lot of different things on a shelf.
Image 3947| Score: 0.5595 | Improved by Teacher| A bunch of yellow and green bananas next to a purple cup.
Image 3948| Score: -0.0270 | Improved by Teacher| A vendor covered by a tent near a van.
Image 3949| Score: 1.1890 | Kept from Student| A person sitting up against a motorcycle along the road.
Image 3950| Score: 0.2890 | Improved by Teacher| People handling a couple of remotes taking them apart.
Image 3951| Score: -2.2186 | Improved by Teacher| There is a hand holding a laptop next to a mouse.
Image 3952| Score: 1.2867 | Kept from Student| A group of people standing around a kitchen preparing food.
Image 3953| Score: -0.8250 | Improved by Teacher| A black and orange cat sits on the pavement.
Image 3954| Score: 0.6867 | Kept from Student| Three zebras in the field with trees and grass
Image 3955| Score: -0.3065 | Improved by Teacher| Dog close up in front of tv in room with candles
Image 3956| Score: 1.5387 | Kept from Student| Families walking their pet dogs on a paved walkway. 
Image 3957| Score: 1.3312 | Kept from Student| A white room with a bookshelf filled with books.
Image 3958| Score: 0.4420 | Improved by Teacher| A boy sits in bed with his Apple laptop.
Image 3959| Score: 1.3133 | Kept from Student| A young girl smiles and holds a tennis racket on the court.
Image 3960| Score: -1.1025 | Improved by Teacher| A steam locomotive on rail tracks by lake
Image 3961| Score: 1.3390 | Kept from Student| A man riding a skateboard in front of a group of young men.
